cep;dados_cep
59114313;"{""uf"": ""RN"", ""cep"": ""59114-313"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nossa Senhora da Apresentação"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Flor do Céu"", ""complemento"": """"}"
59075000;"{""uf"": ""RN"", ""cep"": ""59075-000"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida Senador Salgado Filho - de 1900 a 2860 - lado par"", ""complemento"": """"}"
59120599;"{""uf"": ""RN"", ""cep"": ""59120-599"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Doze de Janeiro Lot. Mar Del Plata"", ""complemento"": """"}"
59294000;"{""uf"": ""RN"", ""cep"": ""59294-000"", ""gia"": """", ""ibge"": """", ""bairro"": ""Jardins"", ""unidade"": """", ""localidade"": ""São Gonçalo do Amarante"", ""logradouro"": ""Rua Antônio Belarmino Pontes"", ""complemento"": """"}"
59056310;"{""uf"": ""RN"", ""cep"": ""59056-310"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Desembargador Sinval Moreira Dias - até 99998/99999"", ""complemento"": """"}"
59104210;"{""uf"": ""RN"", ""cep"": ""59104-210"", ""gia"": """", ""ibge"": """", ""bairro"": ""Igapó"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Alvorada"", ""complemento"": """"}"
59135230;"{""uf"": ""RN"", ""cep"": ""59135-230"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Guaíra"", ""complemento"": """"}"
59012310;"{""uf"": ""RN"", ""cep"": ""59012-310"", ""gia"": """", ""ibge"": """", ""bairro"": ""Petrópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Cláudio Machado"", ""complemento"": """"}"
59056385;"{""uf"": ""RN"", ""cep"": ""59056-385"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Travessa Antônio Basílio"", ""complemento"": """"}"
59042150;"{""uf"": ""RN"", ""cep"": ""59042-150"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nordeste"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua da Cruz"", ""complemento"": """"}"
59158266;"{""uf"": ""RN"", ""cep"": ""59158-266"", ""gia"": """", ""ibge"": """", ""bairro"": ""Parque das Nações"", ""unidade"": """", ""localidade"": ""Parnamirim"", ""logradouro"": ""Rua Cuba"", ""complemento"": """"}"
59069010;"{""uf"": ""RN"", ""cep"": ""59069-010"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pitimbu"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Engenheiro Joaquim Cardoso"", ""complemento"": """"}"
59080430;"{""uf"": ""RN"", ""cep"": ""59080-430"", ""gia"": """", ""ibge"": """", ""bairro"": ""Neópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Amambaí"", ""complemento"": """"}"
88801400;"{""uf"": ""SC"", ""cep"": ""88801-400"", ""gia"": """", ""ibge"": """", ""bairro"": ""Centro"", ""unidade"": """", ""localidade"": ""Criciúma"", ""logradouro"": ""Rua Engenheiro Fiuza da Rocha"", ""complemento"": """"}"
59065460;"{""uf"": ""RN"", ""cep"": ""59065-460"", ""gia"": """", ""ibge"": """", ""bairro"": ""Candelária"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Érico Veríssimo"", ""complemento"": """"}"
59139070;"{""uf"": ""RN"", ""cep"": ""59139-070"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Oficinas do Açu"", ""complemento"": """"}"
59139310;"{""uf"": ""RN"", ""cep"": ""59139-310"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Cartagena"", ""complemento"": """"}"
59092295;"{""uf"": ""RN"", ""cep"": ""59092-295"", ""gia"": """", ""ibge"": """", ""bairro"": ""Ponta Negra"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Baía das Canárias"", ""complemento"": """"}"
59072075;"{""uf"": ""RN"", ""cep"": ""59072-075"", ""gia"": """", ""ibge"": """", ""bairro"": ""Felipe Camarão"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Desenhista Modesto Câmara"", ""complemento"": """"}"
59104280;"{""uf"": ""RN"", ""cep"": ""59104-280"", ""gia"": """", ""ibge"": """", ""bairro"": ""Igapó"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Felipe dos Santos"", ""complemento"": """"}"
59074620;"{""uf"": ""RN"", ""cep"": ""59074-620"", ""gia"": """", ""ibge"": """", ""bairro"": ""Guarapes"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua da Candelária"", ""complemento"": """"}"
59074070;"{""uf"": ""RN"", ""cep"": ""59074-070"", ""gia"": """", ""ibge"": """", ""bairro"": ""Felipe Camarão"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Poti"", ""complemento"": """"}"
59076250;"{""uf"": ""RN"", ""cep"": ""59076-250"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua do Tório"", ""complemento"": """"}"
59078370;"{""uf"": ""RN"", ""cep"": ""59078-370"", ""gia"": """", ""ibge"": """", ""bairro"": ""Capim Macio"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Professor Bilac de Farias"", ""complemento"": """"}"
59014005;"{""uf"": ""RN"", ""cep"": ""59014-005"", ""gia"": """", ""ibge"": """", ""bairro"": ""Mãe Luiza"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Travessa João XXIII"", ""complemento"": """"}"
59138616;"{""uf"": ""RN"", ""cep"": ""59138-616"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Deputado Djalma Marinho"", ""complemento"": """"}"
59090537;"{""uf"": ""RN"", ""cep"": ""59090-537"", ""gia"": """", ""ibge"": """", ""bairro"": ""Ponta Negra"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Santa Maria"", ""complemento"": """"}"
59110320;"{""uf"": ""RN"", ""cep"": ""59110-320"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Seara"", ""complemento"": """"}"
59135490;"{""uf"": ""RN"", ""cep"": ""59135-490"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Praia Azul"", ""complemento"": """"}"
59129550;"{""uf"": ""RN"", ""cep"": ""59129-550"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Rio das Velhas"", ""complemento"": """"}"
59124550;"{""uf"": ""RN"", ""cep"": ""59124-550"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Tarauca"", ""complemento"": """"}"
59082280;"{""uf"": ""RN"", ""cep"": ""59082-280"", ""gia"": """", ""ibge"": """", ""bairro"": ""Capim Macio"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Ilce Marinho"", ""complemento"": """"}"
59088120;"{""uf"": ""RN"", ""cep"": ""59088-120"", ""gia"": """", ""ibge"": """", ""bairro"": ""Neópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Itamarati de Minas"", ""complemento"": """"}"
59056200;"{""uf"": ""RN"", ""cep"": ""59056-200"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida Prudente de Morais - de 3299 a 4241 - lado ímpar"", ""complemento"": """"}"
59075250;"{""uf"": ""RN"", ""cep"": ""59075-250"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nova Descoberta"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida Amintas Barros - de 4427/4428 ao fim"", ""complemento"": """"}"
59138600;"{""uf"": ""RN"", ""cep"": ""59138-600"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida das Cirandas"", ""complemento"": """"}"
29070320;"{""uf"": ""ES"", ""cep"": ""29070-320"", ""gia"": """", ""ibge"": """", ""bairro"": ""Maria Ortiz"", ""unidade"": """", ""localidade"": ""Vitória"", ""logradouro"": ""Rua Eliane Rodrigues dos Santos"", ""complemento"": """"}"
59012170;"{""uf"": ""RN"", ""cep"": ""59012-170"", ""gia"": """", ""ibge"": """", ""bairro"": ""Rocas"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Severino David"", ""complemento"": """"}"
59148470;"{""uf"": ""RN"", ""cep"": ""59148-470"", ""gia"": """", ""ibge"": """", ""bairro"": ""Emaús"", ""unidade"": """", ""localidade"": ""Parnamirim"", ""logradouro"": ""Rua Jerusalém"", ""complemento"": """"}"
59072700;"{""uf"": ""RN"", ""cep"": ""59072-700"", ""gia"": """", ""ibge"": """", ""bairro"": ""Cidade Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Augusto Calheiros"", ""complemento"": """"}"
59056150;"{""uf"": ""RN"", ""cep"": ""59056-150"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Felipe Cortez - até 1873/1874"", ""complemento"": """"}"
59076700;"{""uf"": ""RN"", ""cep"": ""59076-700"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Berilo Wanderley"", ""complemento"": """"}"
59012420;"{""uf"": ""RN"", ""cep"": ""59012-420"", ""gia"": """", ""ibge"": """", ""bairro"": ""Ribeira"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Sachet"", ""complemento"": """"}"
59120130;"{""uf"": ""RN"", ""cep"": ""59120-130"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Jussara (Conjunto Soledade)"", ""complemento"": """"}"
59122230;"{""uf"": ""RN"", ""cep"": ""59122-230"", ""gia"": """", ""ibge"": """", ""bairro"": ""Redinha"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Conselheiro Tristão"", ""complemento"": """"}"
59050030;"{""uf"": ""RN"", ""cep"": ""59050-030"", ""gia"": """", ""ibge"": """", ""bairro"": ""Quintas"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Augusto Leopoldo"", ""complemento"": """"}"
59020280;"{""uf"": ""RN"", ""cep"": ""59020-280"", ""gia"": """", ""ibge"": """", ""bairro"": ""Tirol"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Governador Juvenal Lamartine"", ""complemento"": """"}"
59296391;"{""uf"": ""RN"", ""cep"": ""59296-391"", ""gia"": """", ""ibge"": """", ""bairro"": ""Novo Amarante"", ""unidade"": """", ""localidade"": ""São Gonçalo do Amarante"", ""logradouro"": ""Rua Prefeita Eliane Barros"", ""complemento"": """"}"
59056106;"{""uf"": ""RN"", ""cep"": ""59056-106"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Vila Gerda Maria"", ""complemento"": """"}"
59070230;"{""uf"": ""RN"", ""cep"": ""59070-230"", ""gia"": """", ""ibge"": """", ""bairro"": ""Cidade da Esperança"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Conceição"", ""complemento"": """"}"
54080060;"{""uf"": ""PE"", ""cep"": ""54080-060"", ""gia"": """", ""ibge"": """", ""bairro"": ""Bulhões"", ""unidade"": """", ""localidade"": ""Jaboatão dos Guararapes"", ""logradouro"": ""Rua Mascarenhas de Morais"", ""complemento"": """"}"
59074120;"{""uf"": ""RN"", ""cep"": ""59074-120"", ""gia"": """", ""ibge"": """", ""bairro"": ""Felipe Camarão"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Mar e Céu"", ""complemento"": """"}"
59030530;"{""uf"": ""RN"", ""cep"": ""59030-530"", ""gia"": """", ""ibge"": """", ""bairro"": ""Barro Vermelho"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Desembargador Felipe Guerra"", ""complemento"": """"}"
