nome,bairro__nome
NOSSA SENHORA DO NAZARÉ,NOSSA SENHORA DE NAZARÉ
BOM PARTOR,BOM PASTOR
NOVA REPUBLICA ,PAJUÇARA
PARQUE DOS COCOIROS,NOSSA SENHORA DA APRESENTAÇÃO
GUAMARÉ,LAGOA AZUL
DIX-SPET ROSADO,DIX-SEPT ROSADO
PANALATO,PLANALTO
PARQUE DO COQUEIROS,NOSSA SENHORA DA APRESENTAÇÃO
NS,TIROL
BOM PASTO,BOM PASTOR
POTENGI 1,POTENGI
CIDADE DA ESPERANÇPA,CIDADE DA ESPERANÇA
PAJUAÇARA,PAJUÇARA
ALECRRIM,ALECRIM
NOVA ESPERAÇA,PONTA NEGRA
PAJUSSARA,PAJUÇARA
CIDADE DA ESPERENCA,CIDADE DA ESPERANÇA
DIX SERP ROSADO,DIX-SEPT ROSADO
CID SATELITE,PITIMBU
BOM POSTOR,BOM PASTOR
LAGO NOVA,LAGOA NOVA
LAGOA NOVA (POTILANDIA),LAGOA NOVA
CONJ.SOLIDADE II,POTENGI
MÃE LUISA,MÃE LUÍZA
VILA VERDE,PAJUÇARA
LAGOA NOVA II,LAGOA NOVA
PORTENGI,POTENGI
TIRO,TIROL
CIDADE NOCA,CIDADE NOVA
NOSSA SENHORA DO NAZARE,NOSSA SENHORA DE NAZARÉ
MOSSA SENHORA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SENHORA DA APRESENTA ÃO,NOSSA SENHORA DA APRESENTAÇÃO
REINHA,REDINHA
SANTO ANTONIO,REDINHA
PARQUE D COQUEIROS,NOSSA SENHORA DA APRESENTAÇÃO
LAGOA AZUAL,LAGOA AZUL
NOVA ESPERANCA,PONTA NEGRA
PONTANEGRA,PONTA NEGRA
SOLIDADE I,POTENGI
ROCAS,ROCAS
CENTRO,CIDADE ALTA
Nova Cidade,CIDADE NOVA
lagoa nova ,LAGOA NOVA
Nazaré ,NOSSA SENHORA DE NAZARÉ
condominio alto da candelaria ,CANDELÁRIA
Capim Macio,CAPIM MACIO
Ridinha Nova,REDINHA
Nova Descoberta,NOVA DESCOBERTA
Lagoa Nova,LAGOA NOVA
GRAMOREZINHO,LAGOA AZUL
ESPERANCA,CIDADE DA ESPERANÇA
Pitimbú,PITIMBU
jardim progresso,NOSSA SENHORA DA APRESENTAÇÃO
PAÇO DA PATRIA,ALECRIM
Jardim Progresso,NOSSA SENHORA DA APRESENTAÇÃO
FELIPE CAMARÃO ,FELIPE CAMARÃO
Redinha Nova,REDINHA
nova cidade,CIDADE NOVA
SATELETE,PITIMBU
TIROL,TIROL
Joquei clube,OUTRO
LAGOA REDONDA,OUTRO
ESTACAO,OUTRO
PINHEIROS,OUTRO
VILA QUITAUNA,OUTRO
ANTONIO ACIOLE,OUTRO
VALADAO,OUTRO
ABERTO DOS MORROS,OUTRO
MORADA DA FE,OUTRO
BELA VISTA,OUTRO
JD OCEANIA,OUTRO
COHABINAL,OUTRO
CAMPO BELO,OUTRO
CATETE,OUTRO
VL LIBERDADE,OUTRO
TATUAPE,OUTRO
PQ X DE NOVEMBRO,OUTRO
BARRA DA ONCA,OUTRO
São José de Mipibu - RN,OUTRO
SÃO CRISTÓVÃO,OUTRO
NOVA PARNAMIRM ,OUTRO
EXTREMOS,OUTRO
SÃO GONÇALO DO AMARANTE,OUTRO
Pirangi do Norte (Distrito Litoral) ,OUTRO
PARQUE DO JIQUI,OUTRO
NAZARENO,OUTRO
PIUN,OUTRO
EMAUS,OUTRO
Santa Tereza,OUTRO
COHABNAL,OUTRO
EXTREMOIZ,OUTRO
CAJUPIRANGA,OUTRO
Nova Parnamiri,OUTRO
SAO GONÇALO DO AMARANTE ,OUTRO
Bela Parnamirim,OUTRO
PARQUE DE EXPOSICOES,OUTRO
costa das dunas,OUTRO
PARNAMIRIM,OUTRO
ALTO DA CONCEIÇÃO,OUTRO
Jardim Planalto ,OUTRO
SANTA TEREZINHA,OUTRO
ROSA DOS VENTOS,OUTRO
GOLANDIM,OUTRO
VILA SÃO JOSÉ,OUTRO
GUAGIRU,OUTRO
SANTO ANTONIO DO POTENGI,OUTRO
Nova Parnamirim,OUTRO
PRAIA DE BUZIOS,OUTRO
JARDIM LOLA ,OUTRO
PAREDOES,OUTRO
parnamirim,OUTRO
VALE DO SOL,OUTRO
 NOVA PARNAMIRIM,OUTRO
Santo Amaro,OUTRO
AREIA PRETA,AREIA PRETA
NEÓPOLIS,NEÓPOLIS
Alecrim,ALECRIM
vermelho,BARRO VERMELHO
satélite,PITIMBU
dixpt rosado,DIX-SEPT ROSADO
NOVA REPÚBLICA,PAJUÇARA
DISEPT,DIX-SEPT ROSADO
VERMELHO,BARRO VERMELHO
MAE LUIZ,MÃE LUÍZA
LAGOA NOVA,LAGOA NOVA
CIDADE DA ESPERANÇA,CIDADE DA ESPERANÇA
NOSSA SENHORA APREENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PLANALTO,PITIMBU
Neopolis,NEÓPOLIS
D. ROSADO,DIX-SEPT ROSADO
SATÉLITE,PITIMBU
N. S. A,NOSSA SENHORA DA APRESENTAÇÃO
BAIRRO NORDESTE,NORDESTE
Areia Preta,AREIA PRETA
JARDIM PROGRESSO,PAJUÇARA
Dixp- Rosado ,DIX-SEPT ROSADO
REDINHA NOVA,REDINHA
Vermelho,BARRO VERMELHO
" IGAPO, NATAL(RN)",IGAPÓ
" ALECRIM, NATAL(RN)",ALECRIM
" NEOPOLIS, NATAL(RN)",NEÓPOLIS
" PAJUCARA, NATAL(RN)",PAJUÇARA
" FELIPE CAMARAO, NATAL(RN)",FELIPE CAMARÃO
"FELIPE CAMARAO, NATAL(RN)",FELIPE CAMARÃO
PONTA NEGRA,PONTA NEGRA
PAJUÇARA,PAJUÇARA
CIDADE NOVA,CIDADE NOVA
BAIRRO:POTENGI,POTENGI
NSA DO NAZARE,NOSSA SENHORA DE NAZARÉ
PLANALTO ,PLANALTO
NOS SRADA APRE,NOSSA SENHORA DA APRESENTAÇÃO
NS APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
CJ SANTAREM ,POTENGI
igapo,IGAPÓ
pompeia,NOSSA SENHORA DA APRESENTAÇÃO
POTENGI,POTENGI
C NOVA,CIDADE NOVA
NRA DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
mae luisa,MÃE LUÍZA
Nazaré,NOSSA SENHORA DE NAZARÉ
NOSª SENHORA DA APRESENTAÇAO,NOSSA SENHORA DA APRESENTAÇÃO
NOVA REPUBLICA,PAJUÇARA
VALE DOURADO - NOSSA SENHORA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
QUINTAS NATAL,QUINTAS
POTENGI/PAJUCARA,POTENGI
IGAPO NORTE,IGAPÓ
NSA,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SRA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
POTENGISSA SENHORA DA APRESENTAÇAO,NOSSA SENHORA DA APRESENTAÇÃO
SATELITE,PITIMBU
N SENH DA APRESENTA,NOSSA SENHORA DA APRESENTAÇÃO
VILA PARAISO,NOSSA SENHORA DA APRESENTAÇÃO
JARDIM PROGRESSO ,PAJUÇARA
satelite,PITIMBU
nazare,NOSSA SENHORA DE NAZARÉ
NOS SENH APRESENT,NOSSA SENHORA DE NAZARÉ
NOSSA SENHORA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
NAZARE,NOSSA SENHORA DE NAZARÉ
NSA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
planalto,PLANALTO
NOSSA SRA DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
ALECRIM,ALECRIM
N SRA DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
PITIMBU BAIRRO,PITIMBU
S DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NSA SR DA APRESENTA,NOSSA SENHORA DA APRESENTAÇÃO
A PRETA,AREIA PRETA
NSA SRA APRESENTACA,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SENHORA DA APRESENTÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
L NOVA,LAGOA NOVA
NSA SENHORA DA APRE,NOSSA SENHORA DA APRESENTAÇÃO
PQ DOS COQUEIROS,NOSSA SENHORA DA APRESENTAÇÃO
NOVA CIDADE,CIDADE NOVA
N S A,NOSSA SENHORA DA APRESENTAÇÃO
BAIRRO NEOPOLIS,NEÓPOLIS
KM 6,BOM PASTOR
BRASÍLIA TEIMOSA,ROCAS
CONJ. PAJUCARA II,PAJUÇARA
NSRAAPRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
NAZARÉ,NOSSA SENHORA DE NAZARÉ
CID DA ESPERANCA,CIDADE DA ESPERANÇA
TIROL NATAL,TIROL
NS APRESENTAÇAO,NOSSA SENHORA DA APRESENTAÇÃO
OLHO DAGUA,OUTRO
travessa Fernandes ,OUTRO
ALTO EXTREMOZ,OUTRO
ESTRADA DE PIUM,OUTRO
recanto verde,OUTRO
Centro,OUTRO
Santa Terezinha,OUTRO
HERMES DA FONSECA,OUTRO
MURIU,OUTRO
alto de extremoz ,OUTRO
JARDIM,OUTRO
SAO GONSALO DO AMARANTE,OUTRO
ALTO DO MONTE HERMINIO,OUTRO
TABORDA,OUTRO
TOCA DOS VENTOS,OUTRO
JARDIM PLANALTO,OUTRO
amarante,OUTRO
SAO GONCALO DO AMARANTE,OUTRO
VILA MARIA,OUTRO
NOSSA SENHORA ANUNCIAÇÃO,OUTRO
LAGOA,OUTRO
CENTRAL PARK 3,OUTRO
SAO GONÇALO DO AMRANTE,OUTRO
Jardim Lola ,OUTRO
NOVA,OUTRO
Pirangi,OUTRO
ALTO DO TRIANGULO,OUTRO
Amarante,OUTRO
Rosa dos Ventos,OUTRO
SITIO TABOCA,OUTRO
0,OUTRO
emaus,OUTRO
COOPAHBINAL,OUTRO
PRUDENTE DE MORAIS,OUTRO
AV DEP ANTONIO FLORENCIO DE QUEIROZ,OUTRO
COBE,OUTRO
PARQUE DE EXPOSIÇÕES,OUTRO
VISTA DO ALTO,OUTRO
"GOLANDIN, NATAL(RN)",OUTRO
MOINHO DOS VENTOS,OUTRO
VALADÃO,OUTRO
PEDRA BRANCA,OUTRO
JARDINS ,OUTRO
SAO GONÇALO DO AMARANTE,OUTRO
Silvio Bezerra de Melo,OUTRO
EXTREMOZ ,OUTRO
ESPLANADA,OUTRO
MOINHO,OUTRO
REGOMOLEIRO,OUTRO
jardim planalto,OUTRO
JARDINS,OUTRO
CENTRAL PARCK 3,OUTRO
SÃO GONÇALO,OUTRO
CASTELO BRANCO,OUTRO
José Dantas,OUTRO
GOLANDIM ,OUTRO
CENTRO ,OUTRO
PAJUACARA II,OUTRO
VILA DE FÁTIMA,OUTRO
SITIO,OUTRO
ALTO POTENGI,OUTRO
FRUTILANDIA II,OUTRO
MACAIBA PARQUE,OUTRO
RESIDENCIAL ALGIMAR,OUTRO
BELA PARNAMIRIM,OUTRO
VILA EMBRATEL,OUTRO
SAREREM,OUTRO
 ZONA RURAL,OUTRO
SG AMARANTE,OUTRO
CIDADE DAS ROSAS,OUTRO
PADRE JOAO MARIA,OUTRO
JARDIN LOLA ,OUTRO
Taborda ,OUTRO
GUAJIRU,OUTRO
ZONA NORTE,OUTRO
LOTEAMENTO SÃO FRANCISCO,OUTRO
LIBERDADE ,OUTRO
doze anos,OUTRO
CIDADE VERDE,OUTRO
SAO JUDAS TADEU,OUTRO
COOPHAB,OUTRO
JOSE BEZERRA,OUTRO
PIUM,OUTRO
VALE DO PITIMBU,OUTRO
Jardins,OUTRO
MANOEL SALUSTINO,OUTRO
VILA BUARQUE,OUTRO
PARQUE DAS  NAÇÕES,OUTRO
PARQUE DA LAGOA,OUTRO
INTERMEDIARIA,OUTRO
centro,OUTRO
